Spectrum Name:						
Description:						
Student ID:						
Detector Used:						
Comments:						
Acquisition Mode:	PHA Direct In					
High Voltage:	0					
Conversion Gain:	1024					
Coarse Gain:	4					
Fine Gain:	1.45					
Upper Discriminator:	1					
Lower Discriminator:	0					
Calibration Coefficients:	0.098675676	0.001432432				
Calibration Channels:	750	861				
Calibration Energies:	1.173	1.332				
Elapsed Real Time:	386.24					
Elapsed Live Time:	300					
Start Time:	"noviembre 14, 2024, 05:01:11"					
End Time:	"noviembre 14, 2024, 05:07:37"					
ROIs:						
ROI:	Low	High	Gross	Net	FWHM	Centroid
						
1	431	663	31021	-20939	3	0
2	196	244	2228493	319941	27	0
3	34	58	1260246	188138	16	0
						
Channel Data:						
Channel	Energy	Counts				
524	0.84927027	121				
525	0.850702703	98				
526	0.852135135	102				
527	0.853567568	96				
528	0.855	107				
529	0.856432432	102				
530	0.857864865	82				
531	0.859297297	93				
532	0.86072973	64				
533	0.862162162	84				
534	0.863594595	72				
535	0.865027027	92				
536	0.866459459	68				
537	0.867891892	71				
538	0.869324324	70				
539	0.870756757	70				
540	0.872189189	59				
541	0.873621622	70				
542	0.875054054	63				
543	0.876486486	60				
544	0.877918919	56				
545	0.879351351	43				
546	0.880783784	50				
547	0.882216216	42				
548	0.883648649	55				
549	0.885081081	34				
550	0.886513514	50				
551	0.887945946	32				
552	0.889378378	33				
553	0.890810811	47				
554	0.892243243	39				
555	0.893675676	42				
556	0.895108108	32				
557	0.896540541	32				
558	0.897972973	30				
559	0.899405405	43				
560	0.900837838	27				
561	0.90227027	37				
562	0.903702703	33				
563	0.905135135	30				
564	0.906567568	24				
565	0.908	30				
566	0.909432432	26				
567	0.910864865	19				
568	0.912297297	20				
569	0.91372973	23				
570	0.915162162	24				
571	0.916594595	28				
572	0.918027027	19				
573	0.919459459	24				
574	0.920891892	18				
575	0.922324324	19				
576	0.923756757	22				
577	0.925189189	15				
578	0.926621622	9				
579	0.928054054	21				
580	0.929486486	15				
581	0.930918919	19				
582	0.932351351	18				
583	0.933783784	6				
584	0.935216216	14				
585	0.936648649	9				
586	0.938081081	15				
587	0.939513514	14				
588	0.940945946	10				
589	0.942378378	15				
590	0.943810811	18				
591	0.945243243	11				
592	0.946675676	10				
593	0.948108108	8				
594	0.949540541	9				
595	0.950972973	13				
596	0.952405405	7				
597	0.953837838	4				
598	0.95527027	17				
599	0.956702703	9				
600	0.958135135	7				
601	0.959567568	13				
602	0.961	4				
603	0.962432432	10				
604	0.963864865	3				
605	0.965297297	7				
606	0.96672973	6				
607	0.968162162	10				
608	0.969594595	7				
609	0.971027027	5				
610	0.972459459	10				
611	0.973891892	9				
612	0.975324324	6				
613	0.976756757	6				
614	0.978189189	13				
615	0.979621622	6				
616	0.981054054	8				
617	0.982486486	7				
618	0.983918919	6				
619	0.985351351	5				
620	0.986783784	8				
621	0.988216216	6				
622	0.989648649	7				
623	0.991081081	3				
624	0.992513514	3				
625	0.993945946	10				
626	0.995378378	10				
627	0.996810811	7				
628	0.998243243	4				
629	0.999675676	6				
630	1.001108108	2				
631	1.002540541	4				
632	1.003972973	7				
633	1.005405405	2				
634	1.006837838	5				
635	1.00827027	2				
636	1.009702703	10				
637	1.011135135	2				
638	1.012567568	4				
639	1.014	4				
640	1.015432432	9				
641	1.016864865	5				
642	1.018297297	6				
643	1.01972973	5				
644	1.021162162	7				
645	1.022594595	5				
646	1.024027027	7				
647	1.025459459	2				
648	1.026891892	2				
649	1.028324324	7				
650	1.029756757	6				
651	1.031189189	3				
652	1.032621622	5				
653	1.034054054	6				
654	1.035486486	3				
655	1.036918919	3				
656	1.038351351	8				
657	1.039783784	6				
658	1.041216216	2				
659	1.042648649	1				
660	1.044081081	3				
661	1.045513514	9				
662	1.046945946	5				
663	1.048378378	9				
664	1.049810811	3				
665	1.051243243	4				
666	1.052675676	5				
667	1.054108108	4				
668	1.055540541	5				
669	1.056972973	4				
670	1.058405405	6				
671	1.059837838	2				
672	1.06127027	5				
673	1.062702703	3				
674	1.064135135	1				
675	1.065567568	6				
676	1.067	1				
677	1.068432432	4				
678	1.069864865	6				
679	1.071297297	7				
680	1.07272973	2				
681	1.074162162	4				
682	1.075594595	1				
683	1.077027027	5				
684	1.078459459	3				
685	1.079891892	3				
686	1.081324324	3				
687	1.082756757	3				
688	1.084189189	5				
689	1.085621622	2				
690	1.087054054	5				
691	1.088486486	3				
692	1.089918919	1				
693	1.091351351	2				
694	1.092783784	3				
695	1.094216216	4				
696	1.095648649	0				
697	1.097081081	4				
698	1.098513514	3				
699	1.099945946	2				
700	1.101378378	3				
701	1.102810811	4				
702	1.104243243	2				
703	1.105675676	0				
704	1.107108108	3				
705	1.108540541	3				
706	1.109972973	2				
707	1.111405405	3				
708	1.112837838	1				
709	1.11427027	2				
710	1.115702703	2				
711	1.117135135	4				
712	1.118567568	0				
713	1.12	0				
714	1.121432432	1				
715	1.122864865	3				
716	1.124297297	1				
717	1.12572973	5				
718	1.127162162	2				
719	1.128594595	4				
720	1.130027027	3				
721	1.131459459	4				
722	1.132891892	2				
723	1.134324324	3				
724	1.135756757	1				
725	1.137189189	6				
726	1.138621622	2				
727	1.140054054	5				
728	1.141486486	4				
729	1.142918919	1				
730	1.144351351	2				
731	1.145783784	3				
732	1.147216216	1				
733	1.148648649	0				
734	1.150081081	3				
735	1.151513514	1				
736	1.152945946	1				
737	1.154378378	3				
738	1.155810811	1				
739	1.157243243	4				
740	1.158675676	1				
741	1.160108108	2				
742	1.161540541	2				
